,Cocktail Name,Ingredient,Flavor Profile,User Rating
0,Apple Cider Spritz,Apple Cider,Sweet,4.1
1,Banana Mango Smoothie,Banana,,4.2
2,Beetroot Tonic,Beetroot Juice,Bitter,
3,Bitter Orange Spritzer,Orange Juice,,
4,Blackberry Ginger Spritzer,Ginger Beer,Sour,4.3
5,Blackberry Lemonade,Lemonade,,
6,Blackberry Sage Spritzer,Blackberry Syrup,,
7,Blackberry Thyme Smash,Blackberries,,
8,Blood Orange Ginger Beer,Blood Orange Juice,,
9,Blueberry Ginger Fizz,,,
10,Blueberry Lemon Spritzer,,,
11,Carrot Ginger Tonic,Carrot Juice,,
12,Celery Tonic,Celery Juice,,
13,Cherry Cola,Cherry Syrup,,4.0
14,Cherry Vanilla Soda,,,
15,Chocolate Banana Shake,Milk,Creamy,
16,Citrus Mint Cooler,,,
17,Coconut Cream Chai,Chai Tea,,
18,Coconut Creamsicle,Coconut Milk,,
19,Coconut Lime Cooler,Coconut Water,,
20,Cranberry Lime Spritzer,Cranberry Juice,,
21,Cranberry Orange Spritzer,,,
22,Cranberry Spritz,,Tart,
23,Cranberry Thyme Spritzer,,,
24,Cucumber Cooler,Cucumber Juice,,
25,Cucumber Limeade,,Refreshing,
26,Cucumber Mint Cooler,,,
27,Dandelion Tea Spritz,Dandelion Root Tea,,
28,Fruit Punch,,,
29,Ginger Ale Spritzer,Ginger Ale,,
30,Ginger Lime Fizz,Ginger Syrup,Spicy,
31,Ginger Lime Rickey,Lime Juice,,
32,Ginger Peach Iced Tea,Peach Tea,,
33,Grapefruit Jalapeno Cooler,Grapefruit Juice,,
34,Grapefruit Mint,,,
35,Grapefruit Paloma,,,
36,Grapefruit Rosemary Spritzer,,,
37,Grapefruit Sage,,,
38,Grapefruit Spritzer,,,
40,Green Smoothie,Spinach,,
41,Hibiscus Tea Cooler,Hibiscus tea,,
42,Honeydew Basil Cooler,Honeydew Melon Juice,,
43,Honeydew Mint Cooler,,,
44,Kiwi Lime Mojito,Kiwi,,
45,Kiwi Margarita,Kiwi Juice,,
46,Kiwi Strawberry Lemonade,,,
47,Lavender Lemonade,,,
48,Lemon and Sage Spritz,Lemon Juice,,
49,Lemon Basil Fizz,,,
50,Lemon Ginger Iced Tea,,,
51,Lemon Rosemary Sparkler,,,
52,Lime and Cilantro Mocktail,,,
53,Mango Habanero Mocktail,Mango Juice,,
54,Mango Lassi,Mango,,
55,Matcha Green Tea Latte,Matcha Powder,,
56,Mint Julep Mocktail,Mint leaves,Herbal,
57,Minty Lemonade,,,
58,Minty Lime Refresher,,,
59,Orange Creamsicle,,,4.4
60,Orange Ginger Fizz,,,
61,Orange Sunrise,,,
62,Passionfruit Habanero Cooler,Passionfruit juice,,
63,Passionfruit Lemonade,,,
64,Passionfruit Mango Smoothie,,,
65,Peach Ginger Fizz,Peach Juice,,
66,Peach Iced Tea,Peach tea,,
67,Peach Lemonade,,,
68,Peanut Butter Banana Smoothie,Peanut Butter,,
69,Pina Colada Smoothie,Pineapple Juice,,
70,Pineapple Coconut Cooler,,,
71,Pineapple Coconut Mojito,,,
72,Pineapple Cucumber Cooler,,,
73,Pineapple Jalapeno Margarita,,,
74,Pineapple Mint Mocktail,,,
75,Pineapple Sage Tonic,,,
76,Pomegranate Lemon Spritzer,Pomegranate Juice,,
77,Pomegranate Margarita Mocktail,,,
78,Raspberry Lemon Spritzer,,,
79,Raspberry Lemonade,,,
80,Raspberry Lime Rickey,Raspberry Syrup,,
81,Raspberry Sparkler,,,
82,Raspberry White Hot Chocolate,White Chocolate,,
83,Shirley Temple,Lemon Lime Soda,,
84,Sour Apple Spritz,Apple Juice,,
85,Sparkling Lavender Lemonade,,,
86,Sparkling Peach Punch,Peach Nectar,,
87,Spiced Apple Cider,,,
88,Spicy Ginger Ale,,,
89,Spicy Grapefruit,,,
90,Strawberry Basil Lemonade,,,
91,Strawberry Cheesecake Smoothie,Strawberries,,
92,Strawberry Kiwi Smash,,,
93,Strawberry Mint Lemonade,,,
94,Tropical Punch,,,
95,Tropical Yogurt Smoothie,,,
96,Turmeric Tonic,Turmeric Juice,,
97,Vanilla Chai Latte,,,
98,Vanilla Rooibos Tea Latte,Rooibos Tea,,
99,Virgin Margarita,,,
100,Virgin Mary,Tomato Juice,,
101,Virgin Mojito,,,
102,Virgin Pina Colada,,,
103,Watermelon Lime Slush,Watermelon Juice,,
104,Watermelon Slushie,Watermelon,,
